participant_id	visit	age_at_visit	BFIN1	BFIN2	BFIN3	BFIN4	BFIN5	BFIN6	BFIN7	BFIN8	BFIN9	BFIN10
sub-ON65432	online screening	57	2	1	1	1	5	1	1	5	5	5
sub-ON65444	online screening	-999	4	5	3	2	2	3	4	4	5	5
sub-ON65502	online screening	52	5	5	1	3	4	3	1	4	4	5
sub-ON65521	online screening	-999	4	2	4	2	5	3	4	3	4	4
sub-ON65522	online screening	69	4	4	5	4	-999	4	4	-999	-999	3
sub-ON65533	online screening	33	5	4	4	5	4	2	2	5	2	4
sub-ON65545	online screening	62	1	5	1	1	2	3	3	5	5	3
sub-ON65650	online screening	49	5	5	1	2	5	4	3	5	5	5
sub-ON66111	online screening	67	4	5	1	4	2	2	4	5	3	3
sub-ON66121	online screening	69	5	5	4	3	1	4	1	-999	4	5
sub-ON66234	online screening	26	4	4	2	5	1	4	2	4	3	4
sub-ON66243	online screening	28	2	3	4	4	2	4	2	4	1	4
sub-ON66332	online screening	79	3	4	1	2	1	2	3	4	3	2
sub-ON66342	online screening	74	4	4	1	3	2	5	3	5	3	3
sub-ON66401	online screening	24	2	2	2	2	2	5	4	4	4	4
sub-ON66402	online screening	77	4	4	1	3	4	3	2	5	3	1
sub-ON66410	online screening	65	4	3	1	5	4	5	1	5	1	1
sub-ON66414	online screening	78	4	4	1	2	3	4	4	4	3	4
sub-ON66440	online screening	45	4	5	1	5	3	4	3	5	3	5
sub-ON66452	online screening	60	2	5	2	5	1	5	3	5	1	5
sub-ON66463	online screening	67	2	4	4	3	3	3	3	4	3	3
sub-ON66530	online screening	57	2	5	1	5	1	5	1	5	4	4
sub-ON66540	online screening	40	3	5	1	2	2	2	4	5	4	5
sub-ON66541	online screening	68	2	4	3	5	1	5	1	5	1	4
sub-ON66604	online screening	70	1	4	4	5	1	5	3	3	1	5
sub-ON66632	online screening	76	2	5	1	4	2	5	2	3	1	5
sub-ON66642	online screening	75	3	4	1	5	2	5	3	5	1	3
sub-ON66650	online screening	68	1	4	3	2	4	5	4	5	4	3
sub-ON72020	online screening	66	5	4	4	1	2	1	4	4	4	4
sub-ON72101	online screening	47	2	2	1	2	2	4	2	4	2	3
sub-ON73002	online screening	64	4	5	1	5	4	4	2	5	2	3
sub-ON73020	online screening	-999	2	4	3	1	2	3	2	5	4	5
sub-ON73101	online screening	29	4	4	4	2	-999	3	3	5	2	5
sub-ON73200	online screening	38	2	1	3	2	2	2	4	5	2	5
sub-ON74103	online screening	83	5	5	1	4	4	1	4	4	1	5
sub-ON74200	online screening	-999	4	4	1	4	4	4	1	5	3	3
sub-ON74201	online screening	53	4	5	4	5	4	5	3	5	1	3
sub-ON74231	online screening	-999	2	2	2	3	2	5	4	4	4	5
sub-ON74232	online screening	33	5	5	4	2	1	1	3	4	3	2
sub-ON74320	online screening	43	1	5	2	4	5	4	1	5	1	3
sub-ON74332	online screening	22	4	5	2	4	1	4	1	5	3	4
sub-ON74400	online screening	50	2	5	2	4	2	4	3	5	2	5
sub-ON74431	online screening	22	4	2	4	4	4	4	5	4	4	4
sub-ON74641	online screening	68	4	2	4	2	5	2	4	5	2	1
sub-ON75010	online screening	71	4	4	1	4	2	4	1	4	1	4
sub-ON75100	online screening	46	2	3	1	4	1	4	3	5	2	4
sub-ON75131	online screening	32	1	4	1	5	1	5	3	5	2	4
sub-ON75201	online screening	29	4	4	4	2	5	2	4	5	4	5
sub-ON75222	online screening	31	2	4	1	2	4	5	2	5	4	2
sub-ON75231	online screening	31	5	5	1	2	2	5	3	4	4	4
sub-ON75301	online screening	22	4	4	4	3	1	2	2	5	4	5
sub-ON75312	online screening	77	4	1	1	5	2	3	4	5	2	4
sub-ON75314	online screening	28	2	4	5	1	1	4	3	3	4	4
sub-ON75325	online screening	72	3	2	1	4	5	4	1	5	1	5
sub-ON75332	online screening	42	4	4	1	2	4	3	3	5	3	5
sub-ON75341	online screening	58	4	4	2	1	1	4	3	4	5	5
sub-ON75352	online screening	44	5	2	4	2	2	5	4	4	2	4
sub-ON75410	online screening	48	5	4	2	3	2	1	4	5	1	4
sub-ON75413	online screening	22	4	2	1	4	4	4	4	5	3	4
sub-ON75443	online screening	79	5	4	2	5	4	4	5	5	4	5
sub-ON75451	online screening	56	4	5	4	4	5	4	5	4	2	3
sub-ON75551	online screening	25	4	4	4	2	4	2	4	4	4	4
sub-ON76044	online screening	60	3	5	1	3	4	5	3	5	1	1
sub-ON76100	online screening	52	4	4	4	2	4	4	2	5	4	2
sub-ON76103	online screening	30	2	4	1	3	1	4	3	4	4	3
sub-ON76113	online screening	63	4	2	1	3	5	1	4	5	4	1
sub-ON76130	online screening	74	1	5	1	5	1	5	2	5	2	5
sub-ON76142	online screening	54	2	4	1	2	1	4	3	4	3	4
sub-ON76144	online screening	36	4	5	1	2	4	4	5	5	5	1
sub-ON76153	online screening	23	5	5	3	2	1	3	2	3	5	5
sub-ON76201	online screening	31	1	5	5	3	2	5	2	1	4	5
sub-ON76214	online screening	45	2	1	3	4	3	4	4	5	4	2
sub-ON76240	online screening	70	5	5	2	4	2	4	1	5	2	3
sub-ON76243	online screening	24	2	5	2	3	1	4	3	5	3	5
sub-ON76313	online screening	33	4	4	1	4	2	3	4	5	2	2
sub-ON76320	online screening	39	4	2	3	4	4	3	3	4	2	4
sub-ON76332	online screening	31	4	4	1	5	2	5	4	5	1	4
sub-ON76335	online screening	22	5	5	1	4	2	4	4	5	4	5
sub-ON76351	online screening	25	1	5	2	5	3	5	1	5	1	3
sub-ON76353	online screening	40	4	3	3	4	1	4	3	5	2	4
sub-ON76361	online screening	74	3	4	1	5	4	5	2	5	1	3
sub-ON76400	re-eval online screening	29	4	4	1	2	2	4	3	5	2	3
sub-ON76451	online screening	22	2	5	2	5	4	5	1	5	1	3
sub-ON76511	online screening	68	4	5	1	5	3	4	1	5	1	4
sub-ON76513	online screening	31	5	4	3	3	5	4	4	5	4	5
sub-ON76525	online screening	49	2	5	4	3	3	4	3	5	3	3
sub-ON76553	online screening	33	2	5	3	3	1	4	4	4	4	4
sub-ON76614	online screening	23	2	1	4	2	1	3	5	5	5	3
sub-ON76625	online screening	32	5	2	2	4	3	4	4	4	2	4
sub-ON76644	online screening	71	5	2	1	3	4	2	4	5	1	3
sub-ON77121	online screening	39	5	4	3	3	5	2	1	5	3	3
sub-ON77211	online screening	-999	5	4	2	4	3	2	1	4	3	4
sub-ON77250	online screening	64	5	4	2	2	2	1	4	4	3	5
sub-ON77251	online screening	55	4	5	4	4	3	4	2	2	4	2
sub-ON77342	online screening	38	5	3	4	3	1	3	3	5	3	4
sub-ON77401	online screening	61	2	3	2	4	4	4	3	4	3	3
sub-ON77423	online screening	50	1	5	1	5	5	5	2	5	1	1
sub-ON77511	online screening	58	4	5	1	2	1	3	4	5	4	2
sub-ON77514	online screening	80	3	1	2	2	5	2	5	5	4	1
sub-ON77615	online screening	58	4	4	1	5	4	2	2	5	1	4
sub-ON77620	online screening	67	2	4	2	4	4	5	1	4	3	3
sub-ON77623	online screening	35	5	5	1	3	4	4	1	5	4	2
sub-ON77632	online screening	32	4	3	2	1	2	2	4	5	5	4
sub-ON77635	online screening	22	1	4	2	5	2	5	2	5	4	5
sub-ON77651	online screening	45	3	4	1	5	1	5	3	5	2	4
sub-ON77654	online screening	69	3	3	2	5	2	4	3	5	4	4
sub-ON77660	online screening	64	4	2	4	3	4	1	4	5	1	4
sub-ON77750	online screening	73	1	2	1	5	1	5	1	5	1	5
sub-ON77753	online screening	32	1	4	2	5	2	5	2	5	5	5
sub-ON81001	online screening	27	4	4	3	4	4	4	2	5	3	3
sub-ON81734	re-eval online screening	40	4	4	3	2	1	3	3	4	4	4
sub-ON82100	online screening	-999	1	3	4	4	4	5	3	4	2	4
sub-ON82101	online screening	52	4	4	1	4	1	5	4	5	4	5
sub-ON82111	online screening	27	2	5	2	4	3	5	2	5	2	3
sub-ON82721	online screening	83	5	3	3	3	3	2	5	5	3	4
sub-ON83131	online screening	88	4	3	1	5	2	4	3	5	1	4
sub-ON83211	online screening	42	3	4	3	2	2	4	3	5	2	4
sub-ON83301	online screening	61	3	3	3	2	2	3	2	3	4	5
sub-ON83312	online screening	61	1	5	1	5	2	5	1	4	1	2
sub-ON83320	online screening	51	1	4	3	2	2	2	4	5	2	4
sub-ON84021	online screening	79	5	4	2	4	1	5	3	4	2	4
sub-ON84023	online screening	65	1	5	1	4	1	5	4	5	2	5
sub-ON84032	online screening	74	1	4	1	4	1	5	4	5	2	3
sub-ON84102	online screening	23	1	5	2	4	1	4	4	4	1	5
sub-ON84120	online screening	37	4	4	2	2	3	4	4	4	4	4
sub-ON84121	online screening	54	5	5	1	4	4	2	3	5	2	3
sub-ON84130	online screening	67	4	2	3	2	2	4	5	3	2	3
sub-ON84201	online screening	37	3	5	2	4	4	4	2	4	3	4
sub-ON84211	online screening	70	3	3	1	5	1	5	3	5	1	4
sub-ON84221	online screening	65	5	4	1	1	1	3	5	5	5	5
sub-ON84332	online screening	73	4	5	1	5	2	4	1	5	1	4
sub-ON84340	online screening	58	4	5	1	5	5	2	4	5	4	1
sub-ON84413	online screening	69	1	5	1	5	1	3	1	5	1	3
sub-ON84421	online screening	45	4	3	2	4	2	3	2	4	1	4
sub-ON84442	online screening	31	3	2	1	3	3	3	3	5	3	2
sub-ON84514	online screening	70	5	5	1	5	1	5	2	5	4	5
sub-ON84541	online screening	32	5	5	4	4	3	2	4	1	5	5
sub-ON84651	re-eval online screening	31	5	5	2	5	1	2	1	5	2	5
sub-ON85010	online screening	32	4	5	1	4	3	3	2	4	2	4
sub-ON85011	online screening	35	4	4	3	2	2	3	3	4	4	2
sub-ON85043	online screening	59	3	3	3	4	1	5	3	3	1	3
sub-ON85121	online screening	65	5	5	1	5	1	5	3	5	2	4
sub-ON85130	online screening	22	5	4	1	2	3	2	4	4	4	4
sub-ON85131	online screening	64	2	3	1	4	1	5	4	5	1	5
sub-ON85143	online screening	30	2	4	2	5	2	4	2	5	2	4
sub-ON85144	online screening	58	4	2	4	2	1	1	5	5	5	5
sub-ON85150	online screening	61	3	3	1	5	1	3	3	5	1	3
sub-ON85201	online screening	66	5	5	1	4	4	2	5	5	5	4
sub-ON85301	online screening	36	5	3	2	2	5	1	5	4	4	2
sub-ON85304	online screening	71	1	4	1	4	4	5	4	5	1	1
sub-ON85311	online screening	51	4	5	1	2	3	4	2	5	3	3
sub-ON85314	online screening	44	5	1	4	2	4	2	2	5	5	4
sub-ON85330	online screening	19	4	5	4	4	1	4	5	5	5	5
sub-ON85341	online screening	60	1	5	1	5	1	5	1	5	1	5
sub-ON85400	online screening	31	4	4	2	3	4	4	1	4	3	4
sub-ON85410	online screening	41	5	2	4	2	3	3	1	4	2	4
sub-ON85412	online screening	31	3	4	2	2	1	5	4	4	5	4
sub-ON85432	online screening	22	4	5	4	3	4	2	1	2	5	5
sub-ON85514	online screening	42	2	4	1	4	2	4	2	5	1	4
sub-ON85555	online screening	65	5	1	3	4	1	4	4	5	5	5
sub-ON85562	online screening	54	4	5	1	5	4	5	3	5	1	3
sub-ON85625	online screening	27	5	2	5	3	5	1	1	4	5	5
sub-ON86051	online screening	71	1	2	1	4	4	5	3	5	2	2
sub-ON86054	online screening	40	4	3	4	3	4	4	4	5	3	4
sub-ON86101	online screening	37	1	2	1	3	1	5	1	5	2	3
sub-ON86105	online screening	66	4	5	3	4	3	2	2	5	3	5
sub-ON86120	online screening	68	5	2	4	2	3	2	3	4	4	2
sub-ON86123	online screening	80	4	4	2	4	3	4	1	4	3	4
sub-ON86131	online screening	62	4	5	3	3	3	4	4	4	4	3
sub-ON86132	online screening	71	4	5	3	4	4	5	2	5	3	3
sub-ON86202	re-eval online screening	31	1	5	4	3	1	5	1	5	2	3
sub-ON86213	online screening	58	3	3	2	5	5	5	1	4	1	3
sub-ON86214	online screening	58	1	5	4	5	5	4	2	5	4	4
sub-ON86226	online screening	67	4	4	3	5	4	3	1	5	3	3
sub-ON86231	online screening	18	2	5	4	2	5	5	3	4	5	4
sub-ON86241	online screening	71	2	5	1	2	5	5	1	4	1	5
sub-ON86310	online screening	75	4	5	3	4	2	4	4	4	4	3
sub-ON86311	online screening	51	1	5	1	4	-999	5	2	5	2	4
sub-ON86320	online screening	63	5	1	3	2	4	2	4	4	5	5
sub-ON86343	online screening	39	4	3	4	1	1	4	3	5	4	5
sub-ON86344	online screening	49	4	2	5	4	2	4	2	5	1	4
sub-ON86350	online screening	42	4	5	1	5	1	5	1	5	1	5
sub-ON86405	online screening	22	4	5	3	4	2	4	3	3	3	4
sub-ON86410	online screening	58	5	5	1	5	2	4	1	5	3	5
sub-ON86414	online screening	32	3	5	4	4	1	4	3	5	2	5
sub-ON86424	online screening	46	5	2	1	4	4	3	5	5	4	4
sub-ON86452	online screening	61	4	5	1	1	4	3	1	5	5	4
sub-ON86541	online screening	45	4	5	1	4	4	5	5	4	2	4
sub-ON86545	online screening	67	3	5	2	5	1	5	1	5	1	5
sub-ON86644	online screening	66	1	5	1	2	4	5	2	5	4	5
sub-ON86664	online screening	67	1	4	1	3	3	3	1	5	3	4
sub-ON86665	online screening	30	5	4	4	2	1	2	3	4	5	5
sub-ON86716	online screening	62	3	4	3	4	3	4	4	5	2	3
sub-ON87002	online screening	23	4	4	3	2	4	2	4	4	5	4
sub-ON87022	online screening	30	4	4	3	4	4	4	4	5	3	4
sub-ON87092	online screening	40	1	5	1	4	4	5	2	4	1	2
sub-ON87120	online screening	59	4	5	1	4	5	3	3	4	3	3
sub-ON87143	online screening	78	1	5	1	5	3	5	5	-999	2	5
sub-ON87163	online screening	59	5	5	4	5	1	5	4	5	1	4
sub-ON87201	online screening	39	3	2	1	2	1	4	4	4	4	5
sub-ON87202	online screening	61	1	5	1	4	2	5	4	5	1	4
sub-ON87235	online screening	23	2	3	4	2	1	4	4	5	3	5
sub-ON87240	online screening	43	2	4	4	2	3	5	4	5	5	4
sub-ON87242	online screening	66	4	4	2	4	4	4	2	4	2	3
sub-ON87243	online screening	46	4	4	2	5	4	2	3	4	1	1
sub-ON87253	online screening	42	4	4	1	5	1	4	3	5	2	5
sub-ON87260	online screening	33	3	4	3	2	2	5	4	4	5	5
sub-ON87304	online screening	43	2	5	1	2	3	5	2	3	2	5
sub-ON87314	online screening	22	2	4	4	2	2	5	4	2	4	4
sub-ON87315	online screening	40	4	5	1	2	1	4	3	4	3	4
sub-ON87342	online screening	27	2	2	2	1	4	4	4	4	5	2
sub-ON87350	online screening	30	5	4	3	4	2	3	2	3	4	5
sub-ON87351	online screening	39	1	5	1	5	1	5	4	5	5	5
sub-ON87352	online screening	81	4	4	1	4	1	3	1	5	1	5
sub-ON87362	online screening	34	4	4	1	4	4	4	4	5	4	4
sub-ON87402	online screening	31	4	3	4	5	2	2	4	5	4	4
sub-ON87455	online screening	26	4	4	4	3	4	4	4	4	4	3
sub-ON87464	online screening	56	3	5	1	5	1	5	3	5	1	5
sub-ON87513	online screening	33	5	4	1	4	2	4	1	5	2	2
sub-ON87514	online screening	32	4	5	5	2	4	4	2	4	5	4
sub-ON87520	online screening	61	5	3	1	4	1	3	4	5	1	5
sub-ON87545	online screening	47	5	5	3	4	2	3	4	5	3	4
sub-ON87550	online screening	40	4	4	2	5	4	4	2	4	1	2
sub-ON87564	online screening	23	4	4	2	3	4	4	2	5	5	5
sub-ON87571	online screening	65	2	4	2	4	1	4	3	4	2	4
sub-ON87574	online screening	68	1	3	4	3	2	4	4	4	3	4
sub-ON87614	online screening	43	5	5	2	3	4	1	2	5	4	5
sub-ON87616	online screening	27	4	5	2	4	5	2	1	5	1	3
sub-ON87623	online screening	51	3	5	2	3	3	4	3	4	3	4
sub-ON87631	online screening	24	4	5	2	5	1	4	1	5	2	5
sub-ON87632	online screening	60	1	5	3	2	2	5	4	4	5	4
sub-ON87642	online screening	35	4	5	3	4	3	3	3	4	3	5
sub-ON87645	online screening	22	3	4	3	4	1	4	2	5	2	5
sub-ON87655	online screening	39	3	3	2	4	3	4	2	4	3	5
sub-ON87664	online screening	72	4	4	1	4	2	4	1	5	2	5
sub-ON87665	online screening	53	1	5	1	4	1	5	4	2	4	5
sub-ON87714	online screening	68	1	5	3	4	1	5	3	4	2	3
sub-ON87715	online screening	51	4	4	1	2	4	2	3	4	4	4
sub-ON87721	online screening	29	3	5	3	5	5	5	3	5	2	4
sub-ON87725	online screening	26	5	2	2	5	2	4	4	5	4	2
sub-ON87733	online screening	54	5	5	1	4	4	4	4	5	4	4
sub-ON87734	online screening	66	4	4	1	4	1	4	3	5	1	5
sub-ON87737	online screening	36	5	3	2	4	1	4	2	5	5	5
sub-ON87742	online screening	51	4	5	2	4	5	4	3	4	5	5
sub-ON87743	online screening	35	3	5	1	5	3	4	1	5	1	4
sub-ON87745	online screening	40	4	4	2	4	1	5	1	5	3	5
sub-ON87777	online screening	35	4	3	2	3	4	2	4	5	4	4
sub-ON88163	online screening	32	4	2	2	3	2	3	4	5	5	4
sub-ON88170	online screening	32	3	5	1	3	1	2	3	4	4	4
sub-ON88171	online screening	23	2	4	1	5	1	5	2	5	2	2
sub-ON88181	online screening	-999	3	3	1	5	1	5	4	5	1	4
sub-ON88200	online screening	64	3	3	3	4	4	2	3	4	3	4
sub-ON88210	online screening	32	4	2	3	4	2	2	4	4	4	4
sub-ON88232	online screening	25	1	3	3	2	1	5	4	4	4	4
sub-ON88242	online screening	71	4	4	1	5	1	4	2	5	1	5
sub-ON88320	online screening	65	5	5	1	5	1	4	4	5	4	5
sub-ON88322	online screening	53	5	4	1	4	1	1	5	5	2	5
